댓글,비방,차별,성적 수치심 유발,저주/협박,악성댓글
김래원 팬이데 신세경 케미는 솔직히 별루임 수호해라 꽁냥신이 뭔가 신세경이 연기하는게 넘 보임 캐릭터에 빠져들지못한게 보임 닥터스에서는 신혜랑 나이차이나도 케미있었는데 아쉽다,0,0,0,0,0
마지막이맘에안든다ㅠㅠ다른사람들이랑 야구장서 만나자했는데다 나왔음좋았을걸..해롱이도 실망 ㅠㅠ어떻게그렇게 나오자마자 ㅠㅜ흑ㅠ속상속상ㅠ마지막만더 좋았음 좋았을걸..ㅠ,0,0,0,0,0
와 난 별말 안해도 바로 반대 10개 꼽히네. 알바들 풀어서 김유정한테 호의적이지 않은 댓글 달면 바로 반대 여러개로 찍어 누르나 본대?ㅋㅋㅋ,1,0,0,0,1
그냥 이혼해라. 저렇게 이기적인 생각 가지고 있는 사람하고 어찌사냐?지태와이프 너무이기적이네. 낙태는 살인이다.,0,0,0,1,1
연예인일수록 모범을 보여야 한다고 생각한다. 군대가서 당당한 상남자로 돌아오길 기대한다,0,0,0,0,0
와 10년이나 했어 난 한번도 안봤네.,0,0,0,0,0
어제 밤에 일드 찾아봤어요..너무 울어서 눈이 퉁퉁 부었어요,0,0,0,0,0
경리 혼자만 꽃길걷자^^,0,0,0,0,0
서민정 정말 착하게 보임,0,0,0,0,0
린아 넘 이쁨 ㅠㅠㅠ 축하해요!!!,0,0,0,0,0
주접싸지마라ㅋㅋ태국 유명배우들이 울나라서 저런다고생각함됨 그니까 국뽕질하지마라 ㅋㅋㅋ,1,0,0,0,1
정진이 땡잡았네 애린이 금수저에 몸매좋지 크~~,0,0,0,0,0
예전부터 팬이예요!!!,0,0,0,0,0
진짜 춤 모르는 내가 봐도 너무 멋있음~!,0,0,0,0,0
다비치 이번에 조회수 많으면 솔직히 강다니엘 때문일거 같다.,0,0,0,0,0
좋네.. 첨오는 인간도 반겨주는 이나라.. 방송까지 해주는 나라..ㅎㅎ 살아볼려고 바둥바둥.. 조ㄴ 미안한데.. 울아들 서울 모른다.. 웃기냐? 슬프다..,0,0,0,0,0
안마의자 ppl만 줄이면 정말 완벽한 드라마라고 할수있을텐데.... 옛날 드라마들은 ppl없이 어떻게 찍었나몰라,0,0,0,0,0
타워펠리스 산다고 욕하는 머저리 같은애들은머냐?ㅋㅋㅋㅋ등신들아 아끼고 모아서 타워펠리스 사는거잖아 ㅋㅋㅋㅋㅋㅋㅋㅋ니네는 자수성가를 똥꼬를 듣냐?ㅋㅋㅋㅋ 내참 방송취지를 전혀 모르는군 ㅋㅋㅋㅋ 아끼고 아껴서 비싼집에 비산차 타고 다니라는거잖아.....,1,0,0,0,1
사인을 안밝히는 이유가 뭘까?,0,0,0,0,0
다른건 모르겠고 2018년 한해는 라이브로 다른 걸그룹들 코를 납작하게 해주는 활약을 펴치시길!,0,0,0,0,0
"지난해 1월이면 1년전이네요~이미 헤어진상태라는데.. 장기용 고백부부에서 팬 되신분 많을텐데, 꾸준히 좋은작품 해주시길^^",0,0,0,0,0
솔직히 저 두×× TV 출연하는것보면 정말 꼴보기싫음.한쌍의 바퀴벌레. 그냥 삼류 정치인이 아닌 떨거지들...,1,0,0,0,1
"경비를 늘리면되지 진짜 이해가안되네,탐색해서 없으면 경비 두배강화하고 경비원 바로옆에서 1대1마크하면 어떤놈이 깝치겠냐? 에혀 노답ㅋㄱㅋ",1,0,0,0,1
푸른거탑이 보고싶은뎅,0,0,0,0,0
고현정연기톤이나 스타일 눈빛 다 캐릭터설정같은데... 이번엔 이런캐릭터로 표현할려는 듯,0,0,0,0,0
오공 삼장 보기만해도 심쿵,0,0,0,0,0
그러니까 반전인거지 신피디 잘했네,0,0,0,0,0
애를 위해서라도 아이까지 기사에 오르내리는 건 자제했으면 좋겠다. 부모의 잘못된 계산으로 나중에라도 불필요한 댓글에 애가 상처받으면 슬프지 않을까?,0,0,0,0,0
조세호 은근히 툭툭 뱉는 말들 넘 재밌음ㅋㅋ,0,0,0,0,0
이승기 때문에 본건데 이제 안봐,0,0,0,0,0
울나라 계집치곤 대단하네 원래 여자한테 상 안주는데,0,1,0,0,1
속빨간 넘들끼리 아주 좋치 ㅋㅋㅋ,1,1,0,0,1
15년전에 안성 공도 풍림아파트 술집에서 봤었는데 진짜 너무 이쁘더라~~내가 본사람중에 가장 예뻤던 기억이 ...,0,0,0,0,0
박근혜 최순실이 국정농단할 때 찍소리도 못하고 동료 디스나 하던 쓰레기 힙찔이들이 무슨 스웩이냐? 그냥 우웩이지.,1,0,0,0,1
올림픽 끝나고 북한 애들 올라갈때 함께 올려 보내라. 북한 생활 좀 하면 정신 좀 차리겠지,0,0,0,0,0
왜그러세요ㅜㅠ다들... 이유애린 기사사진이 저래서 그렇지 이뻐요 키도크고 몸매도좋고 서로 좋아서 사귀고하는건데 누가 아깝네하지마세요;;어린애도아니고,0,0,0,0,0
재밌었다는 자체갸 교도소 미화임,0,0,0,0,0
진짜 어제 노래 한 곡에 위로 너무 많이 받았어요,0,0,0,0,0
생각보다 댓글이 많지 않네. 관심들이 덜해진건가? 막고 있는건가?,0,0,0,0,0
여윽시 무한재석교 하하 ㅋㅋㅋㅋㅋ,0,0,0,0,0
선미는 작사밖에 안 했다. 곡이 표절 됐다면 테디 잘못이다. 선미는 잘못없음... 느낌은 비슷하지만 표절까진 아닌거같은데,0,0,0,0,0
송강호 작작써라 지겹다,1,0,0,0,1
노가다라도 뛰던가ㅋ,1,0,0,0,1
솔직히 별 매력 없음 ㅋ,1,0,0,0,1
그냥 강호동이 싫다,1,0,0,0,1
솔직히 이건표절이라고하기에는 많이부족하네요ㅠ 선미노래정도 되야 표절언급가능할듯 진행코드유사하지만 다른면에서보면 완전트림,0,0,0,0,0
이번회는 편집이살렸다,0,0,0,0,0
남주 양세종이나 장동윤으로 해주세요 송재림이랑 안효섭은 유정이랑 안어울려요,0,0,0,0,0
어린애들은 최강창민만 알고 최창민은 모르겠네요. 번 최강창민이 최창민을 따라한줄 알고...,0,0,0,0,0
선예 가정사 때문에 이해하는데 애들이 커서 아이돌하고 싶다면 선예는 어떻게 생각할까?,0,0,0,0,0
마리텔 할때부터 쭈욱 응원해요 그때첨 봤는데 완전충격이었어요 제이블랙의 춤은 더넓은데로나가도 흥할 춤입니다 앞으로 꽃길만걸어요 응원합니다,0,0,0,0,0
듣보잡 아줌마들 기사쓸시간에 엑소 오빠들 근황좀 써주세요,0,0,0,0,0
방송 재밌게 잘 봤는데 구구단 김세정 말고 트와이스 멤버 나왔으면 더 재미있었을텐데,0,0,0,0,0
페미니스트 욕하거나 여성부 욕하는 놈들 특징 ,0,0,0,0,0
신혜선.. 누구 닮았다. 했더니... 공효진 닮았더만...,0,0,0,0,0
투깝스 화이팅!!!,0,0,0,0,0
유승호 때문에 설레고 행복했다. 사랑해 뀨아커플~❤,0,0,0,0,0
박시후 이민기 이진욱 박유천 엄태웅 진짜불쌍하다 꽃뱀년들한테잘못걸려서,0,1,0,0,1
온유는 탈퇴해라 성추형범아 ㅉㅉ,1,0,0,0,1
"욕심이 화를,고생좀혀..",0,0,0,0,0
우리나라 연예기자들 수준하곤...웬만한 영화덕후들보다 예측을 더 못하네. 원래 골든글로브나 아카데미는 기성 거장감독들의 영화에 대해선 별 신경 안씀. 대체로 새로운 시도를 하는 전위적이고 참신한 작품들에 점수를 더 줌.,1,0,0,0,1
말하는 수준하고는 병신들,1,0,0,0,1
어휴 악플러들 그럴줄 알았어 이 기사 댓글단 분들도 처벌받겠네. 관용베풀지말고 악플러들 꼭 엄벌해주세요.,0,0,0,0,0
예전에 채리나가 했던 머리인데?ㅋ,0,0,0,0,0
윤여정쌤처럼 나이들고 싶다.,0,0,0,0,0
"독보적 존재감, EXID~!! 그런데 AOA도 보고싶다...ㅎㅎ",0,0,0,0,0
전어 좀 서비스로 얻었다고 무양심녀 되다니 연예인도 참 피곤할듯;네티즌 니들도 횟집가면 아주머니 서비스 챙겨주면 거절하니?ㅉㅉ 좋아할거면서,1,0,0,0,1
아니 맨날 시청률도 잘안나오고 항상 표정이 똑같고 ~연기 잘하는 애 맞니? 이번엔 어디한번 잘하는지보자~아역이람서 경력은 어따 팔아먹음?,1,0,0,0,1
에효 강다니엘이 먹여살린 워너원을 듣보들이 다 망치네,1,0,0,0,1
털많은남자좋아하는갑네,0,0,0,0,0
행복해보여요^^ 앞으로도 쭉 행복하세요!,0,0,0,0,0
처음에는 민망한 장면나온다고 뭐라 하더만 연기로 다 밀어냄,0,0,0,0,0
망자 빌어먹는 음악가 많군...,1,0,0,0,1
코에 분필이....,0,0,0,0,0
그만 지금 이 딱 좋다 시즌2 나오면 1 까지 손해 본다,0,0,0,0,0
여자분들 자기일 아니라고 가식좀 떨지맙시다. 당신 아들이 기안인데 박나래같은 여자 데려오면 흔쾌히 승낙할까요? 당신이 남자면 저얼굴에 저 몸매보고 밤일 가능할까요? 생각이라는걸 좀 하고삽시다. 김영철이면 모를까 어디 기안한테 나참 ㅋㅋ,0,1,1,0,1
사나 폭풍설사한게 아육대 잘못은 아니지 지가 뭘 잘못먹었나보지 ㅋㅋㅋ,1,0,0,0,1
근데 한무대에 HOT가 함께 공연한다는 자체가 화제성은 끝판왕이지... 아무리 시간이 흘렀어도 전설은 전설임지금도 네이버 가장 많이 본 뉴스 1등하는 것만봐도 성사만 된다면 진짜 젝키 두배의 이슈다,0,0,0,0,0
김동욱씨도 연기너무 소름끼치게 잘했지만 도경수씨도 연기하는거 보고 진짜 소름끼쳤어요. 진짜 리얼하게 잘하시던데요??,0,0,0,0,0
해롱이 사랑스러운 캐릭이었다. 다소 충격이긴 했으나 배우한테 터닝포인트될만한 역인듯~ 응원합니다.♡,0,0,0,0,0
이분 페이스북으로 한국여자 비하한사람 아니에요?이런분이 인기있다니,0,0,0,0,0
뭔가 무섭다 나만그런가.. 공포영화에서 이쁘장한 인형들 잔뜩나오는것같다...,0,0,0,0,0
니들이 아무리 발악해도 박원순 시장님 지지율은 98퍼센트임 깝 ㄴㄴ,1,0,0,0,1
느금마 흑인은 세글자로 줄이면?? 엠블랙,1,0,0,0,1
그만큼 나머지 애들이 실력과 끼와 매력이 없었다는거지 그 점이 프듀랑은 확실히 달랐다. 그러니 믹스나인이 망했고.! 신류진만 기억난다,1,0,0,0,1
도다와 도다와 다시 도다와ㅠㅠㅠㅠㅠ,0,0,0,0,0
역시 믿고듣는 박효신^^,0,0,0,0,0
한혜진 전현무도 썸좀타라 잘어울림ㅋ,0,0,0,0,0
행주냄새 난다는가게 제가 구청에 신고했으니깐 곧 공무원들 찾아갈거예요. 조사 잘받으세요,0,0,0,0,0
김동완이 왜없냐베스트 싱글라이프는 다니엘 헤니가 아니라 김동완이지ㅜㅜ,0,0,0,0,0
낚시형제 잘보고 있어요,0,0,0,0,0
내가 신이었으면 잘생겻으면 봐준다 단 나의 영원한 노예가 되야댐 ㅎ,0,0,0,0,0
계속 달달한씬 가주고 결말을 엄청 새드로 찍어서 여운 남기게 꼭 해주세요. 죽음의 흑기사라던가 내가 너 대신 죽는다 이런거,0,0,0,0,0
봉태규 벨소리 넘 순진무구 보면서 웃겼어요 내게강같은 평화~~~,0,0,0,0,0
연예인들은 돈주면 감옥서도 예능찍는구나,1,0,0,0,1
"아 어렵게 언론회사 특파원으로 취직했는데, 망한도전 나오는 개그맨이라고 한 자리 차지하네 ㄷㄷㄷㄷㄷ 유리천장이고 뭐고 세상 말세다~~~~~~",1,0,0,0,1
녀석 뭘 좀아는구나 ㅋ,0,0,0,0,0
승기가 강호동 라인 아니면 힘못쓰네 ㅋㅋ 한달내로 폐지하고 다시 강호동의 품속으로 ㅋㅋ,1,0,0,0,1
근데 개인 불행한 사고 아니냐? 누가 잘못한건가,0,0,0,0,0
"언니들 비록 드라마충이지만, 마음만은 따뜻한 사람들이에요",0,0,0,0,0
이런 나라에 머하러 옴?,1,1,0,0,1
우리 대한민국 최고의 아티스트 아이유양이 대상을 받아야만 했는데 참으로 아쉽네요!!!~ ㅠ.ㅡ,0,0,0,0,0
다기치맴버 바뀐듯 이해리 넘 했다 얼굴 이상해,0,1,0,0,1
기자들도 쫌 섹스 몇번한거가지고 열애설 내지마라 동물의왕국에서 동물끼리 교미하는건 당연한건데말야ㅋㅋㅋㅋ 동물들 피곤하게 만들지마러,1,0,1,0,1
"약먹이고 바가시후 강간범은 왜 케스팅한거야 , 연기도 안돼 나이도 많아 키도 판도 별론데",1,1,0,0,1
신영이랑 수근이는천재!,0,0,0,0,0
누가 뭐래도 뿜뿜 쵝오~그뤠잏^^ㅋ,0,0,0,0,0
남주는 누구지? 여진구 괜찮은디,0,0,0,0,0
재능이 에능에도 있다고 봅니다. 진실한 방송하시면 된다고 봐요. 사람들이 기본적으로 당신을 사랑합니다.,0,0,0,0,0
참 비굴한 영화다.,1,0,0,0,1
조세호를 띄어 줄려고 햇지만 역으로 아침 뉴스는 완전 망함,1,0,0,0,1
병 2개 앓고잇는 솔리더가 힘들겟어요 쾌유를 빕니다.,0,0,0,0,0
정치인들 제발 안나왓으면 좋겠다,0,0,0,0,0
깔게 없어 깔게. 스티붕 유는 기사보니 한국오고 싶다고 발광을 떨던데 얘는 군대도 깔끔하다.,1,0,0,0,1
키작남 ♡ 모델커플인가? 같은 키작남으로써 격하게 응원한다ㅠㅠ,0,0,0,0,0
감독님 시즌2 만들어주시면안될까요?세트장도 걍 버리시기에 넘 아까우시다면서요 please~,0,0,0,0,0
백인 데려다가 제작비 퍼주면서 관광시켜주는것만으론 성에 안차서 이런기사 내는거? 그렇게 빨아줘도 현실은 눈찢이나 당하자나 ㅠㅠ,1,1,0,0,1
저안에 숙박비도 들어간거랑 첫날 0원 고려해야지,0,0,0,0,0
안녕하세요 보검복지부에서 나왔습니다. 보검오빠 많이 응원해쥐고요^^ 교회도 꼭 나와주세요 유트브에 박보검교회 검색하면 나와요 ~~,0,0,0,0,0
김준희 실제로 보면 개이쁘다,0,0,0,0,0
분유효과좀.....,0,0,0,0,0
화유기가 노잼은 아님.. 작가도 좋고 배우들도 좋아서 본사람들은 다 재밌는거 인정할꺼..임.. Pd가 망쳐서 그르치...,1,0,0,0,1
어휴 '그분들' 어제 블핑 기사에서 리사 태국인이라고 존나 깟으면서 여기서 일본인 왜 까냐고 광광대는거 무엇???? 내로남불 보소 ㅋㅋ,1,1,0,0,1
군대 큰 그림 그리네..,0,0,0,0,0
아이유님 요즘 복면가왕 패널에도 나오시던데 너무 무리하지마세오ㅓ,0,0,0,0,0
노산에 대단하네 ㅋㅋ,0,0,0,0,0
누구누구와한번해보고싶었다뻔한야기,0,0,0,0,0
이병헌의 연기력을 믿는다,0,0,0,0,0
이 프로그램을 맴버들이 살리고 양세형이 신의한수 하드캐리다 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ방송 내내 지루하지않고 너무 웃겨서 웃다가 울다가 장난아녔음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0
와 몇년전에 강남에 오퍼스에서 아가씨 끼고 놀던 새끼가 결국은 결혼하네 ㅋㅋㅋ역시 연예인은 이러나저러나 잘 살아가는구나~,1,1,0,0,1
웃을때 어린애처럼 순수해보이는 웃음 멋져요화이팅입니다~,0,0,0,0,0
제왑 스트레이 키즈 애들이 훨씬 좋은데~~,0,0,0,0,0
지금 가상화폐 폐쇄 소식 최대한 막아볼라고 이유애린 터뜨리는거보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0,0,0,1
왕의남자 최종캐스팅까지 갔었는데 그때 이준기가 아니라 백성현이 했더라면 인생이 달라졌을것..군대 다녀와서 날개 펴자,0,0,0,0,0
운동권미화 적당히 해라 지금 4586세대가 전부 부서 대가리에 감독하는 시대라 이 모양인데 너네 다 디져야 완전 팩트에 기반한 담백한 사실영화를 쏟아질거다 그때 무덤에 기꺼이 침을 뱉어주마,1,1,0,1,1
여자들은 이승기라면 환장하는듯..이해가 안가ㄱ,0,0,0,0,0
김준희씨 매력적인데 안타깝네요 실물은 못뵜지만 나는 말도 못걸것같은데 ㅠ 만나고싶다,0,0,0,0,0
여주연기력 나쁘진 않으나 무심한듯 그리고 차가운 표정이 일드에 다이!! 아역도 일본 아이가 연기와 외모도 윈!! 원작이 솔직히 천배는 재밌답니다!분위기가 음울 그 자체!!,0,0,0,0,0
이사기는 공무원이냐 그만좀 쳐나오라해라,1,0,0,0,1
볼때마다 윌스미스 닮은거 같아. 잘생겼다,0,0,0,0,0
그런다고 남자들이 연상만나 결혼할거같냐 밥정돈 사줄 돈 있어도 결혼할 통장에 돈없는거 아는데 거기에 나이랑 주름이랑 경험만 많은 상폐녀를 ㅋㅋㅋㅋ,1,1,0,0,1
파업 고생중인데..,0,0,0,0,0
마~~~ 니 나라에서 오지마라 보기싫다,0,1,0,0,1
베토벤 바이러스나 하지,0,0,0,0,0
솔직히 20년동안 한결 같지않았잖아...니들도 알면서 뭘 그래,1,0,0,0,1
"신과함께, 1987 잘봤습니다. 항상 멋지십니다^^",0,0,0,0,0
털보를 꺼꾸로 말해보시오. ㅋㅋㅋ 화나면 계집.,0,1,1,0,1
"위대한 88년생 탑스타 : 지드래곤, 태양, 김수현, 박서준, 임시완, 고은아, 황광희, 유병재, 닉쿤, 규현, 택연, 존박, 후지이 미나, 엠마 스톤, 아델",0,0,0,0,0
팬심으론 그냥 둘이 결혼하면 좋겠다..,0,0,0,0,0
제목만 보면 '괴물' 같은 영화일 줄 알았는데 가족드라마라니;;;,0,0,0,0,0
죄수들 사이에 러브라인이 없는 게 비현실적이다...그 안이 얼마나 더러운데..,0,1,0,0,1
나두 아들만 둘인데..딸은 꼭 있어야 하는데..전지현씨 딸하나 낳아야죠~~,0,0,0,0,0
어차피 테디나 선미나 다음 곡 활동 때도 인기 많을 거 뻔한데 음원 차트 3위더만ㅋ 개돼지민국 문재인 뽑은 나라 답다 ㄹㅇ,1,1,0,0,1
드라마 방송사고도 열받는데 제작환경도열받네..방송 폐기해라~!!! 그게 국민과 시청사에대한 예의다.. 배우들 스탭든 고생했지만 .. 제작자들이참에 교훈삼고 본보기보여야한다생각한다,0,0,0,0,0
형님들 그만 싸우고 더유닛 홍의진누나 백예빈누나 임소은누나 한번씩 투표좀요 ㅎㅎ,0,0,0,0,0
공유김고은이랑사귀자너,0,0,0,0,0
BMK랑 일이많네 티아라가,0,0,0,0,0
아하.. 윤식당 시작 한시간 전에 하는구나.. 착하게살자는 안봐야지ㅋ 기자님 고마워요~,0,0,0,0,0
난 딱 재미만 보는데..서론이 넘 길다. 교도소 생활을 더 중점적으로 보여줘야지..담주도 재판예고 하는거보면 답답..진도 좀 빼자,0,0,0,0,0
고소는 화영이 해야지 왜 티아라가 하냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0
초딩때보다는 중딩때가 낫다,0,0,0,0,0
소소 뭘해도 이쁘네 ㅋ 윤아랑 소녀시대 투탑했어야,0,0,0,0,0
낵아 잘 몰라서 하는 말인데 채수빈이 1인 2역 하는거냐?,0,0,0,0,0
동엽씨랑 희철씨 서로 너무 잘알아서 투닥거리면서 보여주는 케미 너무 잼있네요 앞으로 더 승승장구 하세요,0,0,0,0,0
유승호 눈빛에 치인다,0,0,0,0,0
전소민인줄 알고 놀랬잖아 꼴뚜기같이 생긴게 열애설이냐다스는 누구꺼냐,1,0,0,0,1
솔직히 하정우 보다는 디오때문에 천만흥행한듯. 역시 엑소임,0,0,0,0,0
수영장에서 수영이랑하고싶다,0,0,0,0,0
paris hilton sex tape,0,0,1,0,1
원조 최강창민이였지,0,0,0,0,0
연예인들 돈버는거 보면 배아프지 않냐>? 연예인들 왜케 빨아대냐 니들?,1,0,0,0,1
박나래 남자 외모 절라리 밝힘. 남자로 태어났으면 내부자들 영화에서 오회장 정도됐을듯. 맨날 여대생 부르고. 박나래는 딱 그런상임. 잘생긴 남자 보면 침질질 흘리는거 티비로도 확실히 느껴진다,1,0,0,0,1
선미까지마라 장차 내 마누라가 될 사람인데 님들이 그리 막대해도 되는 신분 아닙니다 어디 건방지게 님들 인생이나 열심히사쇼 내 예비 마누라 까지말고 시건방지게..,0,0,0,0,0
이 드라마는 배우 이영애씨에게 이미지 사용료를 줘야 할까요?,0,0,0,0,0
연애1년안에 결혼안하면 헤어지드라결국,0,0,0,0,0
확실히 네이버 댓글에 여성 성비가 50%에 가까워 지거나 많아질수록 불편충들이 많아진다. 불편충+여자=방송 노잼화. 이에 대표적인 예로 무한도전이 있지.,0,1,0,0,1
